,,,,,,
Christiansburg,-0.521,0.847,"(-2.181, 1.140)",-0.61,0.539,2.02
Cicero,-0.546,0.846,"(-2.205, 1.112)",-0.65,0.518,2.02
Cincinnati,-0.095,0.606,"(-1.283, 1.093)",-0.16,0.876,46.3
Circle Pines,-0.015,0.734,"(-1.454, 1.423)",-0.02,0.983,3.03
Clackamas,0.004,0.636,"(-1.242, 1.251)",0.01,0.995,9.1
Clarion,1.236,0.846,"(-0.422, 2.895)",1.46,0.144,2.02
Clarksboro,-0.451,0.734,"(-1.889, 0.987)",-0.61,0.539,3.03
Clarksburg,0.574,0.656,"(-0.712, 1.861)",0.88,0.381,6.06
Clarkston,-0.128,0.624,"(-1.351, 1.095)",-0.2,0.838,13.14
Clarksville,0.079,0.733,"(-1.358, 1.516)",0.11,0.914,3.03
Clatskanie,-0.145,0.64,"(-1.400, 1.111)",-0.23,0.821,8.08
Claymont,-0.144,0.847,"(-1.804, 1.516)",-0.17,0.865,2.02
Clayton,-0.265,0.733,"(-1.703, 1.172)",-0.36,0.718,3.03
Cle Elum,0.7,0.692,"(-0.657, 2.057)",1.01,0.312,4.05
Clear Spring,-0.558,0.734,"(-1.997, 0.880)",-0.76,0.447,3.03
Clearfield,-0.323,0.692,"(-1.679, 1.033)",-0.47,0.641,4.04
Clearwater,0.334,0.735,"(-1.108, 1.776)",0.45,0.65,3.05
Clemmons,-0.389,0.846,"(-2.047, 1.270)",-0.46,0.646,2.02
Cleveland,-0.146,0.605,"(-1.332, 1.039)",-0.24,0.809,56.25
Clifton,0.321,0.636,"(-0.926, 1.567)",0.5,0.614,9.1
Clinton,0.636,0.67,"(-0.678, 1.949)",0.95,0.343,5.06
Clinton Township,0.61,0.692,"(-0.745, 1.966)",0.88,0.378,4.04
Clio,-0.474,0.657,"(-1.762, 0.813)",-0.72,0.47,6.07
Cloverdale,0.004,0.605,"(-1.183, 1.190)",0.01,0.995,57.4
Coeur D Alene,-0.414,0.692,"(-1.771, 0.943)",-0.6,0.55,4.05
Cohasset,-0.452,0.846,"(-2.111, 1.207)",-0.53,0.593,2.02
Colchester,-0.4,0.847,"(-2.060, 1.261)",-0.47,0.637,2.02
Colfax,-0.451,0.846,"(-2.110, 1.208)",-0.53,0.594,2.02
Coloma,-0.34,0.734,"(-1.779, 1.098)",-0.46,0.643,3.03
Colonial Heights,1.218,0.848,"(-0.443, 2.880)",1.44,0.151,2.02
Colorado Springs,0.025,0.67,"(-1.289, 1.338)",0.04,0.971,5.06
Columbia,-0.05,0.636,"(-1.296, 1.197)",-0.08,0.938,9.1
Columbus,0.067,0.602,"(-1.113, 1.248)",0.11,0.911,105.84
Concord,0.17,0.636,"(-1.076, 1.417)",0.27,0.789,9.1
Contoocook,-0.301,0.656,"(-1.588, 0.985)",-0.46,0.646,6.06
Convent,1.319,0.734,"(-0.120, 2.757)",1.8,0.072,3.03
Conyers,0.704,0.61,"(-0.492, 1.899)",1.15,0.249,34.42
Coolidge,-0.011,0.639,"(-1.265, 1.242)",-0.02,0.986,9.2
Coopersville,0.382,0.847,"(-1.278, 2.043)",0.45,0.652,2.02
Coos Bay,-0.334,0.655,"(-1.618, 0.950)",-0.51,0.61,6.04
Copley,-0.72,0.735,"(-2.162, 0.721)",-0.98,0.327,3.04
Coquille,-0.225,0.67,"(-1.539, 1.090)",-0.34,0.738,5.06
Corbett,0.953,0.67,"(-0.360, 2.266)",1.42,0.155,5.05
Corfu,0.762,0.734,"(-0.676, 2.201)",1.04,0.299,3.03
Corona,-0.35,0.691,"(-1.705, 1.005)",-0.51,0.613,4.04
Cortlandt Manor,-0.337,0.846,"(-1.995, 1.320)",-0.4,0.69,2.01
Cosmopolis,1.093,0.848,"(-0.568, 2.755)",1.29,0.197,2.02
Cottage Grove,-0.098,0.692,"(-1.454, 1.258)",-0.14,0.887,4.04
Council,-0.416,0.846,"(-2.074, 1.243)",-0.49,0.623,2.02
Council Bluffs,-0.324,0.847,"(-1.985, 1.337)",-0.38,0.702,2.02
Coupeville,0.968,0.641,"(-0.288, 2.224)",1.51,0.131,8.09
Covington,0.9,0.611,"(-0.298, 2.099)",1.47,0.141,27.28
Cranberry Township,0.486,0.845,"(-1.171, 2.143)",0.58,0.565,2.01
Cranford,0.32,0.847,"(-1.341, 1.981)",0.38,0.706,2.02
Cranston,-0.419,0.658,"(-1.708, 0.871)",-0.64,0.524,6.09
Crawford,-0.639,0.859,"(-2.323, 1.045)",-0.74,0.457,2.08
Creedmoor,0.226,0.656,"(-1.061, 1.513)",0.34,0.73,6.06
Crescent,-0.261,0.846,"(-1.921, 1.398)",-0.31,0.757,2.02
Crescent Valley,-0.24,0.661,"(-1.536, 1.057)",-0.36,0.717,7.38
Cromwell,-0.484,0.846,"(-2.143, 1.175)",-0.57,0.568,2.02
Crossville,-0.351,0.847,"(-2.011, 1.308)",-0.41,0.678,2.02
Crum Lynne,-0.374,0.846,"(-2.033, 1.285)",-0.44,0.659,2.02
Cullman,-0.112,0.671,"(-1.426, 1.203)",-0.17,0.868,5.06
Culver,-0.456,0.848,"(-2.119, 1.208)",-0.54,0.591,2.03
Cumberland,-0.416,0.847,"(-2.076, 1.244)",-0.49,0.623,2.02
Cumberland Foreside,-0.376,0.845,"(-2.033, 1.282)",-0.44,0.657,2.01
Cupertino,-0.266,0.846,"(-1.925, 1.393)",-0.31,0.754,2.02
Curwensville,1.547,0.671,"(0.232, 2.862)",2.31,0.021,5.07
Custer,-0.741,0.739,"(-2.190, 0.708)",-1,0.316,3.08
Cut Bank,-0.341,0.848,"(-2.004, 1.321)",-0.4,0.687,2.03
Cuyahoga Falls,-0.283,0.692,"(-1.639, 1.073)",-0.41,0.682,4.04
Dacula,-0.467,0.847,"(-2.128, 1.193)",-0.55,0.581,2.02
Dallas,0.154,0.604,"(-1.030, 1.338)",0.26,0.799,66.19
Damascus,0.649,0.692,"(-0.707, 2.005)",0.94,0.348,4.04
Danbury,0.611,0.845,"(-1.046, 2.267)",0.72,0.47,2.01
Dandridge,0.328,0.734,"(-1.112, 1.767)",0.45,0.655,3.03
Danville,1.049,0.848,"(-0.613, 2.710)",1.24,0.216,2.02
Darien,-0.451,0.846,"(-2.109, 1.207)",-0.53,0.594,2.01
Davisburg,-0.313,0.733,"(-1.749, 1.124)",-0.43,0.67,3.02
Davison,-0.097,0.647,"(-1.366, 1.172)",-0.15,0.881,7.08
Dayton,-0.056,0.611,"(-1.254, 1.141)",-0.09,0.926,26.19
De Pere,0.64,0.846,"(-1.019, 2.299)",0.76,0.45,2.02
Dearborn,-0.337,0.641,"(-1.593, 0.919)",-0.53,0.599,8.09
Decatur,0.63,0.626,"(-0.598, 1.858)",1.01,0.315,12.14
Declo,-0.377,0.847,"(-2.037, 1.283)",-0.44,0.656,2.02
Dedham,-0.203,0.846,"(-1.862, 1.456)",-0.24,0.81,2.02
Deerfield,0.42,0.846,"(-1.238, 2.077)",0.5,0.62,2.01
Delaware Water Gap,1.137,0.848,"(-0.524, 2.799)",1.34,0.18,2.02
Denton,0.943,0.616,"(-0.264, 2.151)",1.53,0.126,20.25
Denver,0.627,0.629,"(-0.605, 1.859)",1,0.319,11.11
Depoe Bay,-0.131,0.847,"(-1.790, 1.529)",-0.15,0.877,2.02
Derry,-0.45,0.734,"(-1.889, 0.989)",-0.61,0.54,3.03
Derwood,1.441,0.848,"(-0.221, 3.102)",1.7,0.089,2.02
Des Moines,0.298,0.657,"(-0.990, 1.585)",0.45,0.65,6.07
Des Plaines,0.3,0.623,"(-0.922, 1.522)",0.48,0.63,13.12
Detroit,-0.105,0.602,"(-1.286, 1.075)",-0.17,0.861,111.76
Dexter,-0.081,0.734,"(-1.520, 1.357)",-0.11,0.912,3.03
Dickerson,-0.323,0.733,"(-1.761, 1.115)",-0.44,0.66,3.03
Dimondale,0.339,0.691,"(-1.016, 1.695)",0.49,0.624,4.04
Disputanta,-0.381,0.846,"(-2.041, 1.278)",-0.45,0.652,2.02
Divide,0.085,0.693,"(-1.273, 1.443)",0.12,0.902,4.05
Dolton,-0.252,0.734,"(-1.690, 1.187)",-0.34,0.732,3.03
Dorchester,-0.238,0.733,"(-1.675, 1.199)",-0.32,0.745,3.03
Douglasville,1.458,0.848,"(-0.204, 3.120)",1.72,0.085,2.02
Dover,-0.397,0.635,"(-1.642, 0.848)",-0.63,0.532,9.08
Downers Grove,-0.035,0.629,"(-1.267, 1.198)",-0.05,0.956,11.11
Downey,-0.775,0.859,"(-2.459, 0.910)",-0.9,0.367,2.08
Downingtown,0.679,0.62,"(-0.536, 1.894)",1.1,0.273,16.2
Doylestown,1.497,0.846,"(-0.162, 3.156)",1.77,0.077,2.02
Draper,-0.187,0.847,"(-1.848, 1.473)",-0.22,0.825,2.02
Drewsey,-0.228,0.846,"(-1.887, 1.431)",-0.27,0.788,2.02
Drummond,-0.502,0.741,"(-1.955, 0.951)",-0.68,0.498,3.09
Drums,1.028,0.692,"(-0.328, 2.385)",1.49,0.137,4.04
Dublin,0.115,0.641,"(-1.140, 1.371)",0.18,0.857,8.08
Dubois,-0.706,0.862,"(-2.395, 0.984)",-0.82,0.413,2.09
Duffield,-0.321,0.736,"(-1.763, 1.121)",-0.44,0.663,3.05
Dufur,-0.261,0.847,"(-1.920, 1.399)",-0.31,0.758,2.02
Duluth,0.095,0.734,"(-1.344, 1.533)",0.13,0.897,3.03
Duncan,0.855,0.693,"(-0.503, 2.213)",1.23,0.217,4.05
Duncannon,1.441,0.847,"(-0.220, 3.102)",1.7,0.089,2.02
Duncansville,-0.631,0.848,"(-2.294, 1.032)",-0.74,0.457,2.03
Dundee,-0.221,0.657,"(-1.508, 1.067)",-0.34,0.737,6.07
Dunkirk,1.52,0.848,"(-0.142, 3.182)",1.79,0.073,2.02
Dupont,-0.501,0.734,"(-1.940, 0.938)",-0.68,0.495,3.03
Durant,-0.368,0.734,"(-1.807, 1.071)",-0.5,0.616,3.04
Durham,0.507,0.615,"(-0.698, 1.712)",0.83,0.409,21.22
Dutch Flat,-0.332,0.847,"(-1.992, 1.327)",-0.39,0.695,2.02
Eagle,0.91,0.67,"(-0.404, 2.223)",1.36,0.175,5.05
Eagle Creek,1.353,0.734,"(-0.087, 2.793)",1.84,0.065,3.04
Eagle Mountain,-0.58,0.749,"(-2.048, 0.889)",-0.77,0.439,3.16
Eagle Point,-0.293,0.636,"(-1.540, 0.954)",-0.46,0.645,9.1
East Brunswick,-0.182,0.649,"(-1.454, 1.090)",-0.28,0.779,7.11
East Carbon,0.662,0.734,"(-0.776, 2.100)",0.9,0.367,3.03
East Elmhurst,0.124,0.736,"(-1.319, 1.566)",0.17,0.867,3.05
East Freedom,-0.631,0.848,"(-2.294, 1.032)",-0.74,0.457,2.03
East Granby,1.373,0.732,"(-0.061, 2.807)",1.88,0.061,3.01
East Greenwich,-0.329,0.733,"(-1.766, 1.108)",-0.45,0.654,3.03
East Hartford,-0.435,0.67,"(-1.749, 0.878)",-0.65,0.516,5.06
East Haven,-0.379,0.846,"(-2.037, 1.278)",-0.45,0.654,2.01
East Lyme,0.579,0.733,"(-0.858, 2.017)",0.79,0.43,3.03
East Meadow,1.366,0.846,"(-0.293, 3.024)",1.61,0.107,2.02
East Orange,0.241,0.656,"(-1.045, 1.527)",0.37,0.713,6.06
East Peoria,-0.292,0.846,"(-1.951, 1.368)",-0.34,0.73,2.02
East Providence,0.43,0.734,"(-1.008, 1.868)",0.59,0.558,3.03
East Rochester,-0.445,0.845,"(-2.102, 1.212)",-0.53,0.599,2.01
East Saint Louis,0.949,0.734,"(-0.490, 2.388)",1.29,0.196,3.03
East Stroudsburg,1.725,0.847,"(0.063, 3.386)",2.04,0.042,2.02
East Syracuse,-0.032,0.647,"(-1.300, 1.236)",-0.05,0.96,7.06
East Waterboro,-0.447,0.848,"(-2.110, 1.215)",-0.53,0.598,2.03
Eatontown,-0.715,0.733,"(-2.153, 0.723)",-0.97,0.33,3.03
Eau Claire,1.374,0.847,"(-0.286, 3.034)",1.62,0.105,2.02
Echo Lake,-0.441,0.847,"(-2.102, 1.221)",-0.52,0.603,2.02
Eddington,-0.482,0.846,"(-2.141, 1.177)",-0.57,0.569,2.02
Eden Prairie,-0.066,0.648,"(-1.336, 1.204)",-0.1,0.919,7.08
Edgar,0.016,0.733,"(-1.421, 1.452)",0.02,0.983,3.03
Edgecomb,-0.346,0.847,"(-2.007, 1.315)",-0.41,0.683,2.02
Edmonds,-0.509,0.847,"(-2.170, 1.151)",-0.6,0.548,2.02
Edwards,-0.518,0.847,"(-2.179, 1.143)",-0.61,0.541,2.02
Efland,-0.265,0.846,"(-1.924, 1.394)",-0.31,0.754,2.02
Egg Harbor Township,-0.371,0.734,"(-1.809, 1.067)",-0.51,0.613,3.03
Eidson,-0.181,0.849,"(-1.846, 1.483)",-0.21,0.831,2.03
Eighty Four,1.774,0.847,"(0.114, 3.434)",2.09,0.036,2.02
Elberton,-0.342,0.848,"(-2.005, 1.321)",-0.4,0.687,2.03
Elgin,0.102,0.628,"(-1.130, 1.333)",0.16,0.871,11.1
Elizabethport,-0.554,0.846,"(-2.213, 1.105)",-0.65,0.513,2.02
Elk Falls,1.645,0.692,"(0.289, 3.001)",2.38,0.017,4.04
Elk Grove Village,0.561,0.734,"(-0.878, 2.000)",0.76,0.445,3.03
Elk Mound,-0.371,0.846,"(-2.030, 1.289)",-0.44,0.662,2.02
Elkridge,0.519,0.692,"(-0.838, 1.876)",0.75,0.454,4.05
Elkview,-0.342,0.846,"(-2.000, 1.317)",-0.4,0.686,2.02
Elmhurst,0.113,0.615,"(-1.093, 1.318)",0.18,0.854,20.19
Elmira,1.627,0.847,"(-0.032, 3.287)",1.92,0.055,2.02
Elmore,-0.168,0.848,"(-1.831, 1.495)",-0.2,0.843,2.03
Elmsford,-0.13,0.734,"(-1.568, 1.309)",-0.18,0.86,3.03
Elmwood Park,-0.211,0.847,"(-1.870, 1.449)",-0.25,0.803,2.02
Eloy,0.938,0.672,"(-0.379, 2.254)",1.4,0.163,5.08
Emlenton,1.114,0.67,"(-0.198, 2.427)",1.66,0.096,5.05
Emmaus,-0.297,0.846,"(-1.956, 1.362)",-0.35,0.726,2.02
Endicott,-0.269,0.847,"(-1.929, 1.390)",-0.32,0.75,2.02
Enfield,-0.486,0.846,"(-2.145, 1.174)",-0.57,0.566,2.02
Englewood,0.183,0.632,"(-1.055, 1.422)",0.29,0.772,10.1
Englewood Cliffs,-0.642,0.846,"(-2.300, 1.017)",-0.76,0.448,2.02
Enola,-0.499,0.734,"(-1.938, 0.940)",-0.68,0.496,3.03
Epping,-0.736,0.845,"(-2.393, 0.920)",-0.87,0.384,2.01
Erlanger,-0.314,0.846,"(-1.973, 1.344)",-0.37,0.71,2.02
Errol,-0.205,0.847,"(-1.865, 1.456)",-0.24,0.809,2.02
Estacada,0.206,0.734,"(-1.233, 1.645)",0.28,0.779,3.04
Estes Park,0.832,0.863,"(-0.861, 2.524)",0.96,0.335,2.1
Ethel,-0.272,0.734,"(-1.711, 1.166)",-0.37,0.711,3.03
Etna,-0.29,0.847,"(-1.950, 1.369)",-0.34,0.732,2.02
Eugene,-0.029,0.622,"(-1.249, 1.191)",-0.05,0.963,14.15
Euless,-0.216,0.847,"(-1.877, 1.444)",-0.26,0.798,2.02
Eureka,-0.281,0.674,"(-1.602, 1.041)",-0.42,0.677,5.11
Everett,-0.265,0.618,"(-1.477, 0.946)",-0.43,0.668,17.18
Evergreen,0.193,0.849,"(-1.470, 1.857)",0.23,0.82,2.03
Everson,1.627,0.846,"(-0.033, 3.286)",1.92,0.055,2.02
Exchange,-0.631,0.849,"(-2.295, 1.034)",-0.74,0.458,2.03
Exton,0.129,0.658,"(-1.161, 1.419)",0.2,0.845,6.09
Fair Lawn,-0.286,0.847,"(-1.946, 1.374)",-0.34,0.735,2.02
Fairdale,-0.453,0.846,"(-2.112, 1.206)",-0.54,0.592,2.02
Fairfax,-0.42,0.691,"(-1.775, 0.934)",-0.61,0.543,4.03
Fairfield,-0.381,0.641,"(-1.638, 0.875)",-0.6,0.552,8.09
Fairmont,1.362,0.847,"(-0.298, 3.022)",1.61,0.108,2.02
Fairplay,0.67,0.624,"(-0.554, 1.894)",1.07,0.283,13.15
Fairview,-0.29,0.692,"(-1.647, 1.067)",-0.42,0.675,4.05
Falkville,1.531,0.737,"(0.087, 2.975)",2.08,0.038,3.05
Fall Branch,1.701,0.734,"(0.261, 3.140)",2.32,0.021,3.04
Fall River,-0.225,0.846,"(-1.884, 1.434)",-0.27,0.79,2.02
Fallbrook,-0.334,0.847,"(-1.994, 1.327)",-0.39,0.694,2.02
Falling Waters,0.217,0.735,"(-1.223, 1.658)",0.3,0.767,3.04
Fallon,1.654,0.734,"(0.215, 3.093)",2.25,0.024,3.03
Falls Church,-0.354,0.846,"(-2.012, 1.305)",-0.42,0.676,2.02
Falmouth,-0.468,0.691,"(-1.823, 0.886)",-0.68,0.498,4.03
Farmingdale,-0.564,0.692,"(-1.921, 0.792)",-0.82,0.415,4.04
Farmington,0.055,0.619,"(-1.159, 1.268)",0.09,0.93,16.15
Fayetteville,0.725,0.733,"(-0.713, 2.162)",0.99,0.323,3.03
Feasterville Trevose,0.597,0.846,"(-1.061, 2.256)",0.71,0.48,2.02
Federal Way,0.64,0.641,"(-0.616, 1.897)",1,0.318,8.09
Fennville,0.564,0.846,"(-1.095, 2.224)",0.67,0.505,2.02
Fenton,1.157,0.632,"(-0.082, 2.395)",1.83,0.067,10.1
Ferron,-0.107,0.846,"(-1.765, 1.552)",-0.13,0.9,2.02
Findlay,-0.51,0.67,"(-1.824, 0.805)",-0.76,0.447,5.06
Fiskdale,0.743,0.692,"(-0.613, 2.099)",1.07,0.283,4.04
Flagstaff,-0.486,0.632,"(-1.724, 0.753)",-0.77,0.442,10.1
Flint,-0.009,0.606,"(-1.197, 1.179)",-0.01,0.989,47.31
Florence,-0.257,0.657,"(-1.544, 1.030)",-0.39,0.695,6.07
Floyds Knobs,1.23,0.848,"(-0.433, 2.893)",1.45,0.147,2.03
Flushing,0.04,0.64,"(-1.215, 1.295)",0.06,0.95,8.08
Fond du Lac,-0.359,0.846,"(-2.018, 1.301)",-0.42,0.672,2.02
Forest,-0.439,0.672,"(-1.757, 0.879)",-0.65,0.514,5.09
Forest Hills,-0.509,0.734,"(-1.947, 0.930)",-0.69,0.488,3.03
Forest Park,0.043,0.669,"(-1.268, 1.355)",0.06,0.949,5.04
Foristell,-0.328,0.847,"(-1.988, 1.333)",-0.39,0.699,2.02
Forked River,-0.478,0.67,"(-1.791, 0.835)",-0.71,0.476,5.05
Forsyth,-0.544,0.697,"(-1.911, 0.823)",-0.78,0.435,4.1
Fort Collins,0.659,0.657,"(-0.629, 1.946)",1,0.316,6.07
Fort Garland,0.524,0.896,"(-1.232, 2.280)",0.59,0.559,2.26
Fort Lee,-0.343,0.641,"(-1.599, 0.913)",-0.54,0.592,8.08
Fort Mill,-0.257,0.67,"(-1.571, 1.057)",-0.38,0.701,5.06
Fort Scott,0.511,0.851,"(-1.158, 2.180)",0.6,0.548,2.04
Fort Thomas,-0.375,0.847,"(-2.035, 1.285)",-0.44,0.658,2.02
Fort Wayne,0.286,0.735,"(-1.156, 1.727)",0.39,0.698,3.04
Fort Worth,-0.063,0.612,"(-1.263, 1.137)",-0.1,0.919,24.21
Fountain,-0.19,0.735,"(-1.631, 1.251)",-0.26,0.796,3.04
Fox Lake,0.586,0.846,"(-1.073, 2.245)",0.69,0.489,2.02
Framingham,0.669,0.847,"(-0.991, 2.329)",0.79,0.43,2.02
Franconia,0.64,0.691,"(-0.715, 1.995)",0.93,0.354,4.03
Franklin Park,-0.233,0.846,"(-1.891, 1.426)",-0.27,0.783,2.02
Franklinville,-0.382,0.846,"(-2.041, 1.277)",-0.45,0.652,2.02
Franksville,-0.389,0.847,"(-2.048, 1.271)",-0.46,0.646,2.02
Frederick,1.386,0.734,"(-0.054, 2.826)",1.89,0.059,3.04
Fredericksburg,-0.324,0.734,"(-1.763, 1.116)",-0.44,0.659,3.04
Fredonia,1.432,0.846,"(-0.226, 3.091)",1.69,0.091,2.02
Freeport,-0.318,0.617,"(-1.527, 0.892)",-0.51,0.607,18.19
Frenchville,-0.279,0.847,"(-1.939, 1.382)",-0.33,0.742,2.02
Fresh Meadows,-0.244,0.733,"(-1.682, 1.193)",-0.33,0.739,3.03
Front Royal,1.363,0.847,"(-0.297, 3.023)",1.61,0.108,2.02
Ft Mitchell,0.529,0.67,"(-0.785, 1.842)",0.79,0.43,5.05
Fulton,0.611,0.734,"(-0.827, 2.050)",0.83,0.405,3.03
Gaffney,-0.083,0.657,"(-1.370, 1.205)",-0.13,0.9,6.07
Gaithersburg,-0.231,0.656,"(-1.517, 1.056)",-0.35,0.725,6.06
Galesburg,-0.335,0.691,"(-1.691, 1.020)",-0.49,0.628,4.04
Galion,1.67,0.692,"(0.313, 3.027)",2.41,0.016,4.05
Gallatin,1.432,0.846,"(-0.226, 3.090)",1.69,0.091,2.01
Gallup,0.195,0.848,"(-1.467, 1.857)",0.23,0.818,2.02
Gansevoort,-0.319,0.692,"(-1.676, 1.039)",-0.46,0.645,4.05
Garden Prairie,-0.414,0.846,"(-2.072, 1.244)",-0.49,0.624,2.01
Gardiner,-0.409,0.847,"(-2.070, 1.252)",-0.48,0.629,2.02
Gardner,-0.429,0.846,"(-2.088, 1.230)",-0.51,0.612,2.02
Garibaldi,0.103,0.693,"(-1.255, 1.462)",0.15,0.882,4.06
Garner,-0.26,0.847,"(-1.921, 1.401)",-0.31,0.759,2.02
Garryowen,0.405,0.852,"(-1.266, 2.076)",0.48,0.635,2.05
Garysburg,0.576,0.735,"(-0.864, 2.017)",0.78,0.433,3.04
Gaston,1.287,0.844,"(-0.367, 2.941)",1.53,0.127,2.01
Geneseo,1.552,0.846,"(-0.106, 3.211)",1.83,0.067,2.02
Geneva,0.302,0.848,"(-1.360, 1.964)",0.36,0.722,2.02
Georgetown,1.62,0.846,"(-0.038, 3.279)",1.91,0.056,2.02
Germantown,-0.005,0.733,"(-1.442, 1.433)",-0.01,0.995,3.03
Gervais,-0.599,0.847,"(-2.260, 1.062)",-0.71,0.48,2.02
Ghent,-0.486,0.847,"(-2.146, 1.174)",-0.57,0.566,2.02
Gig Harbor,0.891,0.656,"(-0.394, 2.177)",1.36,0.174,6.05
Girard,1.351,0.69,"(-0.002, 2.704)",1.96,0.05,4.02
Gladwin,1.418,0.733,"(-0.019, 2.855)",1.93,0.053,3.03
Glassboro,-0.16,0.847,"(-1.821, 1.501)",-0.19,0.85,2.02
