,,,,,,
Paragonah,-0.589,0.692,"(-1.946, 0.767)",-0.85,0.394,4.04
Paramus,-0.42,0.846,"(-2.078, 1.239)",-0.5,0.62,2.02
Park Rapids,-0.504,0.734,"(-1.943, 0.935)",-0.69,0.492,3.03
Park Ridge,1.454,0.693,"(0.097, 2.812)",2.1,0.036,4.05
Park Valley,-0.622,0.662,"(-1.920, 0.677)",-0.94,0.348,7.41
Parker,0.214,0.632,"(-1.026, 1.453)",0.34,0.735,10.12
Parkersburg,-0.302,0.733,"(-1.740, 1.136)",-0.41,0.68,3.03
Parkton,1.503,0.847,"(-0.157, 3.163)",1.78,0.076,2.02
Parma,0.69,0.846,"(-0.969, 2.349)",0.81,0.415,2.02
Parrottsville,-0.42,0.849,"(-2.085, 1.245)",-0.49,0.621,2.03
Pasadena,0.9,0.67,"(-0.414, 2.214)",1.34,0.179,5.06
Passaic,0.661,0.847,"(-0.999, 2.320)",0.78,0.435,2.02
Patchogue,1.351,0.847,"(-0.309, 3.012)",1.6,0.111,2.02
Paterson,-0.356,0.67,"(-1.668, 0.957)",-0.53,0.595,5.05
Paulsboro,-0.537,0.692,"(-1.893, 0.820)",-0.78,0.438,4.04
Paw Paw,0.039,0.657,"(-1.249, 1.326)",0.06,0.953,6.07
Pawcatuck,0.712,0.846,"(-0.947, 2.371)",0.84,0.4,2.02
Pawtucket,-0.431,0.847,"(-2.091, 1.230)",-0.51,0.611,2.02
Payson,-0.429,0.669,"(-1.740, 0.883)",-0.64,0.522,5.04
Peachtree City,1.38,0.848,"(-0.282, 3.042)",1.63,0.104,2.02
Pearland,-0.223,0.846,"(-1.882, 1.436)",-0.26,0.792,2.02
Pekin,1.764,0.734,"(0.326, 3.202)",2.4,0.016,3.03
Pelham,-0.6,0.736,"(-2.043, 0.843)",-0.82,0.415,3.05
Pendleton,-0.227,0.617,"(-1.436, 0.982)",-0.37,0.713,18.18
Penfield,0.97,0.692,"(-0.386, 2.327)",1.4,0.161,4.04
Penn Valley,-0.654,0.849,"(-2.318, 1.009)",-0.77,0.441,2.03
Pennington Gap,1.327,0.849,"(-0.336, 2.991)",1.56,0.118,2.03
Pennsauken,0.268,0.848,"(-1.394, 1.931)",0.32,0.752,2.03
Perrysburg,0.138,0.669,"(-1.173, 1.450)",0.21,0.836,5.04
Peru,0.739,0.733,"(-0.699, 2.176)",1.01,0.314,3.03
Peterborough,-0.316,0.847,"(-1.977, 1.345)",-0.37,0.709,2.02
Petersburg,-0.337,0.692,"(-1.693, 1.020)",-0.49,0.627,4.05
Philadelphia,-0.132,0.622,"(-1.352, 1.088)",-0.21,0.832,14.16
Phillipsburg,0.36,0.657,"(-0.929, 1.649)",0.55,0.584,6.08
Phoenix,0.529,0.692,"(-0.827, 1.884)",0.76,0.445,4.04
Phoenixville,1.575,0.846,"(-0.084, 3.234)",1.86,0.063,2.02
Piedmont,0.358,0.859,"(-1.326, 2.042)",0.42,0.677,2.08
Pikeville,-0.387,0.847,"(-2.048, 1.275)",-0.46,0.648,2.02
Pine Brook,0.594,0.734,"(-0.845, 2.032)",0.81,0.419,3.03
Pine City,-0.528,0.846,"(-2.187, 1.132)",-0.62,0.533,2.02
Piru,-0.278,0.672,"(-1.595, 1.039)",-0.41,0.679,5.08
Pittsburgh,1.269,0.623,"(0.047, 2.490)",2.04,0.042,13.1
Plain City,1.114,0.844,"(-0.540, 2.768)",1.32,0.187,2
Plains,-0.736,0.87,"(-2.442, 0.971)",-0.85,0.398,2.13
Plainville,-0.487,0.692,"(-1.843, 0.869)",-0.7,0.481,4.04
Plainwell,1.788,0.847,"(0.128, 3.448)",2.11,0.035,2.02
Plantsville,0.376,0.847,"(-1.284, 2.035)",0.44,0.657,2.02
Pleasant Grove,-0.388,0.846,"(-2.047, 1.271)",-0.46,0.647,2.02
Pleasantville,-0.413,0.846,"(-2.071, 1.245)",-0.49,0.625,2.01
Plummer,-0.436,0.847,"(-2.096, 1.224)",-0.52,0.606,2.02
Plymouth,-0.004,0.635,"(-1.249, 1.241)",-0.01,0.995,9.08
Pocatello,-0.778,0.847,"(-2.439, 0.883)",-0.92,0.359,2.02
Pomfret Center,-0.522,0.847,"(-2.182, 1.137)",-0.62,0.537,2.02
Pomona,-0.579,0.846,"(-2.238, 1.079)",-0.68,0.494,2.02
Pontiac,0.572,0.846,"(-1.087, 2.230)",0.68,0.499,2.02
Port Byron,-0.387,0.846,"(-2.046, 1.272)",-0.46,0.647,2.02
Port Jervis,1.463,0.846,"(-0.195, 3.122)",1.73,0.084,2.02
Port Orchard,1.341,0.692,"(-0.016, 2.699)",1.94,0.053,4.05
Port Orford,-0.311,0.692,"(-1.668, 1.046)",-0.45,0.653,4.05
Port Townsend,0.331,0.614,"(-0.873, 1.536)",0.54,0.59,21.22
Portage,0.078,0.646,"(-1.189, 1.345)",0.12,0.904,7.05
Porter Ranch,-0.076,0.609,"(-1.269, 1.117)",-0.12,0.901,39.47
Portland,-0.002,0.602,"(-1.182, 1.177)",0,0.997,140.28
Portsmouth,-0.509,0.67,"(-1.822, 0.804)",-0.76,0.448,5.05
Posen,0.345,0.847,"(-1.317, 2.006)",0.41,0.684,2.02
Pottstown,1.517,0.671,"(0.203, 2.832)",2.26,0.024,5.07
Powell Butte,0.505,0.735,"(-0.936, 1.946)",0.69,0.492,3.04
Poynette,0.337,0.847,"(-1.324, 1.998)",0.4,0.691,2.02
Prairieville,0.157,0.648,"(-1.114, 1.428)",0.24,0.808,7.1
Prescott,1.169,0.849,"(-0.495, 2.834)",1.38,0.168,2.03
Prescott Valley,1.689,0.734,"(0.250, 3.129)",2.3,0.021,3.04
Princeton,-0.472,0.656,"(-1.758, 0.814)",-0.72,0.472,6.05
Prineville,-0.345,0.692,"(-1.702, 1.012)",-0.5,0.618,4.05
Prospect,-0.143,0.67,"(-1.457, 1.171)",-0.21,0.831,5.06
Prosser,-0.583,0.849,"(-2.248, 1.082)",-0.69,0.493,2.03
Providence,-0.263,0.611,"(-1.460, 0.935)",-0.43,0.667,27.23
Provo,-0.348,0.611,"(-1.546, 0.850)",-0.57,0.569,26.22
Pulaski,1.306,0.847,"(-0.354, 2.967)",1.54,0.123,2.02
Punxsutawney,1.573,0.673,"(0.255, 2.892)",2.34,0.019,5.09
Purchase,0.331,0.848,"(-1.330, 1.993)",0.39,0.696,2.02
Queen Anne,1.551,0.693,"(0.192, 2.909)",2.24,0.025,4.06
Queensbury,-0.244,0.847,"(-1.903, 1.416)",-0.29,0.774,2.02
Quinton,-0.461,0.846,"(-2.120, 1.197)",-0.55,0.586,2.02
Ragged Point,0.719,0.849,"(-0.945, 2.382)",0.85,0.397,2.03
Rainier,-0.156,0.734,"(-1.594, 1.283)",-0.21,0.832,3.03
Raleigh,0.184,0.606,"(-1.005, 1.373)",0.3,0.761,46.34
Randle,-0.396,0.846,"(-2.056, 1.263)",-0.47,0.64,2.02
Ransomville,1.825,0.735,"(0.385, 3.266)",2.48,0.013,3.04
Rarden,1.509,0.846,"(-0.150, 3.167)",1.78,0.075,2.02
Raton,-0.53,0.849,"(-2.194, 1.134)",-0.62,0.532,2.03
Rawlins,0.656,0.847,"(-1.005, 2.316)",0.77,0.439,2.02
Rayle,1.292,0.738,"(-0.154, 2.738)",1.75,0.08,3.06
Raymond,-0.333,0.846,"(-1.991, 1.326)",-0.39,0.694,2.02
Raytown,-0.402,0.847,"(-2.062, 1.257)",-0.48,0.635,2.02
Red Bank,-0.277,0.733,"(-1.714, 1.160)",-0.38,0.706,3.03
Red Bay,1.54,0.847,"(-0.121, 3.200)",1.82,0.069,2.02
Redding,1.429,0.846,"(-0.230, 3.088)",1.69,0.091,2.02
Redford,0.242,0.647,"(-1.027, 1.511)",0.37,0.709,7.08
Redmond,-0.125,0.621,"(-1.342, 1.092)",-0.2,0.841,15.17
Reedsport,-0.405,0.848,"(-2.068, 1.257)",-0.48,0.633,2.03
Reedsville,1.715,0.847,"(0.054, 3.376)",2.02,0.043,2.02
Rego Park,-0.413,0.734,"(-1.851, 1.025)",-0.56,0.573,3.03
Reno,-0.226,0.734,"(-1.664, 1.212)",-0.31,0.758,3.03
Rensselaer,-0.513,0.847,"(-2.174, 1.148)",-0.6,0.545,2.02
Renton,0.259,0.631,"(-0.979, 1.496)",0.41,0.682,10.1
Republic,0.765,0.847,"(-0.895, 2.424)",0.9,0.366,2.02
Resaca,1.8,0.847,"(0.140, 3.460)",2.13,0.034,2.02
Rhododendron,0.869,0.657,"(-0.418, 2.157)",1.32,0.186,6.07
Richfield,-0.106,0.847,"(-1.766, 1.554)",-0.13,0.9,2.02
Richfield Springs,1.521,0.734,"(0.081, 2.960)",2.07,0.038,3.04
Richland,0.843,0.656,"(-0.444, 2.130)",1.28,0.199,6.07
Richmond,0.248,0.612,"(-0.952, 1.449)",0.41,0.685,24.23
Rickreall,-0.487,0.669,"(-1.798, 0.824)",-0.73,0.467,5.04
Ridgefield,0.174,0.733,"(-1.263, 1.612)",0.24,0.812,3.03
Rimersburg,1.517,0.672,"(0.200, 2.833)",2.26,0.024,5.08
Rincon,1.433,0.846,"(-0.225, 3.092)",1.69,0.09,2.02
Ripley,-0.538,0.848,"(-2.200, 1.124)",-0.63,0.526,2.02
Riverside,-0.396,0.733,"(-1.833, 1.042)",-0.54,0.59,3.03
Roanoke,0.741,0.692,"(-0.616, 2.097)",1.07,0.284,4.04
Roanoke Rapids,0.201,0.692,"(-1.155, 1.557)",0.29,0.771,4.04
Robbins,-0.11,0.732,"(-1.544, 1.325)",-0.15,0.881,3.02
Robertsdale,0.183,0.738,"(-1.265, 1.630)",0.25,0.804,3.07
Rochester,-0.151,0.609,"(-1.345, 1.042)",-0.25,0.804,31.21
Rock Falls,-0.341,0.847,"(-2.001, 1.318)",-0.4,0.687,2.02
Rock Hill,-0.253,0.734,"(-1.691, 1.185)",-0.34,0.73,3.03
Rock River,-1.003,0.78,"(-2.532, 0.525)",-1.29,0.198,3.42
Rockaway Beach,-0.259,0.621,"(-1.477, 0.959)",-0.42,0.677,15.19
Rockbridge,-0.465,0.847,"(-2.125, 1.195)",-0.55,0.583,2.02
Rockford,1.131,0.657,"(-0.158, 2.419)",1.72,0.085,6.08
Rockville,0.32,0.691,"(-1.035, 1.676)",0.46,0.643,4.04
Rocky Ford,1.738,0.847,"(0.078, 3.398)",2.05,0.04,2.02
Rocky Gap,1.462,0.693,"(0.104, 2.819)",2.11,0.035,4.05
Rocky Hill,-0.372,0.733,"(-1.809, 1.065)",-0.51,0.611,3.03
Rogers,-0.412,0.846,"(-2.070, 1.245)",-0.49,0.626,2.01
Rogersville,0.593,0.695,"(-0.770, 1.955)",0.85,0.394,4.08
Roggen,0.22,0.851,"(-1.449, 1.889)",0.26,0.796,2.04
Rolling Meadows,0.536,0.736,"(-0.906, 1.979)",0.73,0.466,3.05
Rome,1.78,0.846,"(0.121, 3.439)",2.1,0.036,2.02
Romulus,-0.432,0.641,"(-1.688, 0.824)",-0.67,0.5,8.08
Roosevelt,0.105,0.733,"(-1.333, 1.542)",0.14,0.886,3.03
Roscommon,0.89,0.847,"(-0.772, 2.551)",1.05,0.294,2.02
Rosebud,-0.325,0.847,"(-1.984, 1.335)",-0.38,0.701,2.02
Roseburg,-0.152,0.734,"(-1.591, 1.287)",-0.21,0.836,3.03
Roseland,-0.181,0.847,"(-1.840, 1.478)",-0.21,0.831,2.02
Roselle,-0.269,0.734,"(-1.708, 1.171)",-0.37,0.714,3.04
Rosemount,-0.342,0.846,"(-2.000, 1.317)",-0.4,0.686,2.02
Rosendale,1.024,0.734,"(-0.415, 2.462)",1.4,0.163,3.03
Roseville,-0.397,0.734,"(-1.835, 1.041)",-0.54,0.589,3.03
Roslyn,-0.374,0.67,"(-1.688, 0.940)",-0.56,0.577,5.06
Roslyn Heights,-0.46,0.733,"(-1.898, 0.978)",-0.63,0.531,3.03
Round Lake,1.649,0.845,"(-0.008, 3.306)",1.95,0.051,2.01
Round Lake Beach,0.55,0.848,"(-1.112, 2.212)",0.65,0.516,2.02
Roundup,-0.435,0.846,"(-2.095, 1.224)",-0.51,0.607,2.02
Royston,-0.344,0.847,"(-2.004, 1.315)",-0.41,0.684,2.02
Russell,0.716,0.847,"(-0.944, 2.375)",0.85,0.398,2.02
Ruther Glen,-0.405,0.847,"(-2.065, 1.255)",-0.48,0.633,2.02
Rye,-0.121,0.691,"(-1.476, 1.234)",-0.17,0.861,4.03
Saco,-0.4,0.733,"(-1.837, 1.038)",-0.54,0.586,3.03
Sacramento,-0.391,0.641,"(-1.647, 0.865)",-0.61,0.542,8.08
Saddle Brook,-0.497,0.847,"(-2.157, 1.163)",-0.59,0.557,2.02
Saddle River,1.028,0.734,"(-0.410, 2.467)",1.4,0.161,3.03
Saginaw,1.577,0.848,"(-0.085, 3.239)",1.86,0.063,2.02
Saint Amant,0.109,0.671,"(-1.206, 1.424)",0.16,0.871,5.07
Saint Ann,1.592,0.847,"(-0.068, 3.252)",1.88,0.06,2.02
Saint Charles,0.232,0.691,"(-1.124, 1.587)",0.33,0.738,4.04
Saint Clair Shores,0.156,0.629,"(-1.076, 1.388)",0.25,0.804,11.11
Saint Clairsville,-0.298,0.692,"(-1.654, 1.058)",-0.43,0.667,4.04
Saint Cloud,0.301,0.734,"(-1.137, 1.739)",0.41,0.682,3.03
Saint James,1.416,0.67,"(0.102, 2.729)",2.11,0.035,5.06
Saint Johns,1.207,0.733,"(-0.229, 2.644)",1.65,0.1,3.02
Saint Joseph,0.458,0.733,"(-0.978, 1.894)",0.63,0.532,3.02
Saint Louis,0.266,0.606,"(-0.923, 1.454)",0.44,0.661,44.26
Saint Paul,0.005,0.606,"(-1.184, 1.193)",0.01,0.994,44.28
Saint Peters,0.112,0.734,"(-1.327, 1.551)",0.15,0.879,3.03
Saint Regis,-0.864,0.87,"(-2.569, 0.841)",-0.99,0.321,2.13
Saint Robert,-0.546,0.848,"(-2.207, 1.116)",-0.64,0.52,2.02
Salem,-0.094,0.61,"(-1.291, 1.102)",-0.15,0.877,28.24
Salisbury,0.765,0.657,"(-0.523, 2.053)",1.16,0.244,6.07
Salt Lake City,-0.145,0.602,"(-1.324, 1.035)",-0.24,0.81,135.34
Salt Point,-0.221,0.846,"(-1.881, 1.438)",-0.26,0.794,2.02
San Antonio,0.727,0.692,"(-0.629, 2.083)",1.05,0.293,4.04
San Francisco,-0.241,0.847,"(-1.901, 1.418)",-0.29,0.776,2.02
San Ramon,-0.139,0.734,"(-1.578, 1.301)",-0.19,0.85,3.04
San Simeon,0.719,0.849,"(-0.945, 2.382)",0.85,0.397,2.03
Sanborn,1.593,0.846,"(-0.066, 3.252)",1.88,0.06,2.02
Sanbornton,-0.445,0.632,"(-1.684, 0.793)",-0.71,0.481,10.1
Sandston,-0.304,0.733,"(-1.741, 1.134)",-0.41,0.679,3.03
Sandy,-0.165,0.671,"(-1.480, 1.149)",-0.25,0.806,5.06
Santa Clarita,-0.293,0.614,"(-1.497, 0.912)",-0.48,0.634,23.32
Santaquin,-0.483,0.734,"(-1.921, 0.955)",-0.66,0.51,3.03
Satartia,1.011,0.737,"(-0.433, 2.455)",1.37,0.17,3.05
Saugerties,-1.387,0.847,"(-3.047, 0.273)",-1.64,0.102,2.02
Sauk Centre,-0.192,0.692,"(-1.549, 1.165)",-0.28,0.781,4.05
Savona,-0.645,0.845,"(-2.302, 1.013)",-0.76,0.446,2.01
Saxon,1.12,0.735,"(-0.321, 2.561)",1.52,0.128,3.04
Scarborough,-0.398,0.734,"(-1.837, 1.041)",-0.54,0.588,3.03
Scarsdale,-0.494,0.691,"(-1.849, 0.861)",-0.71,0.475,4.04
Schaumburg,0.218,0.693,"(-1.140, 1.576)",0.31,0.753,4.05
Schenectady,1.447,0.692,"(0.090, 2.804)",2.09,0.037,4.05
Schiller Park,-0.232,0.846,"(-1.891, 1.428)",-0.27,0.784,2.02
Scio,-0.176,0.734,"(-1.614, 1.262)",-0.24,0.81,3.03
Scottsburg,-0.264,0.734,"(-1.702, 1.174)",-0.36,0.719,3.03
Scranton,-0.422,0.846,"(-2.081, 1.237)",-0.5,0.618,2.02
Seal Rock,-0.186,0.621,"(-1.403, 1.032)",-0.3,0.765,15.19
Seaside,-0.418,0.735,"(-1.858, 1.022)",-0.57,0.569,3.04
Seatac,-0.257,0.846,"(-1.917, 1.402)",-0.3,0.761,2.02
Seattle,0.224,0.605,"(-0.961, 1.409)",0.37,0.711,60.28
Secaucus,-0.292,0.846,"(-1.951, 1.367)",-0.35,0.73,2.02
Sellersburg,0.444,0.846,"(-1.215, 2.102)",0.52,0.6,2.02
Selma,-0.272,0.692,"(-1.629, 1.085)",-0.39,0.694,4.05
Seminole,1.238,0.694,"(-0.122, 2.598)",1.78,0.074,4.06
Senoia,1.746,0.735,"(0.306, 3.186)",2.38,0.018,3.04
Severn,-0.379,0.846,"(-2.038, 1.280)",-0.45,0.654,2.02
Seward,0.829,0.848,"(-0.833, 2.491)",0.98,0.328,2.02
Sewell,0.851,0.692,"(-0.505, 2.207)",1.23,0.218,4.04
Sewickley,1.384,0.669,"(0.073, 2.696)",2.07,0.039,5.04
Seymour,1.52,0.734,"(0.082, 2.958)",2.07,0.038,3.03
Shady Cove,-0.411,0.847,"(-2.072, 1.250)",-0.48,0.628,2.02
Shakopee,0.073,0.734,"(-1.365, 1.512)",0.1,0.92,3.03
Shamong,-0.371,0.847,"(-2.031, 1.290)",-0.44,0.662,2.02
Shawnee,-0.358,0.692,"(-1.714, 0.998)",-0.52,0.605,4.04
Sheboygan,-0.341,0.846,"(-2.001, 1.318)",-0.4,0.687,2.02
Shedd,-0.613,0.846,"(-2.272, 1.047)",-0.72,0.469,2.02
Sheffield Lake,1.397,0.846,"(-0.263, 3.056)",1.65,0.099,2.02
Shelbyville,0.557,0.692,"(-0.799, 1.913)",0.81,0.42,4.04
Shelton,0.455,0.691,"(-0.900, 1.810)",0.66,0.511,4.04
Sheridan,-0.657,0.844,"(-2.312, 0.998)",-0.78,0.436,2.01
Sherman,1.088,0.692,"(-0.270, 2.445)",1.57,0.116,4.05
Sherwood,0.662,0.847,"(-0.998, 2.322)",0.78,0.435,2.02
Shippenville,1.21,0.844,"(-0.445, 2.864)",1.43,0.152,2.01
Shoreham,1.589,0.846,"(-0.070, 3.248)",1.88,0.06,2.02
Shorewood,-0.466,0.846,"(-2.125, 1.194)",-0.55,0.582,2.02
Shortsville,-1.404,0.847,"(-3.064, 0.256)",-1.66,0.097,2.02
Shreveport,0.817,0.847,"(-0.844, 2.478)",0.96,0.335,2.02
Siler City,0.774,0.848,"(-0.888, 2.437)",0.91,0.361,2.03
Silt,1.705,0.847,"(0.045, 3.365)",2.01,0.044,2.02
Silver Plume,-0.323,0.848,"(-1.986, 1.340)",-0.38,0.703,2.03
Simi Valley,-0.202,0.613,"(-1.403, 1.000)",-0.33,0.742,26.38
Skokie,-0.185,0.67,"(-1.499, 1.128)",-0.28,0.782,5.05
Skykomish,1.358,0.847,"(-0.302, 3.019)",1.6,0.109,2.02
Slatington,-0.681,0.847,"(-2.342, 0.981)",-0.8,0.422,2.02
Slatyfork,1.388,0.738,"(-0.059, 2.834)",1.88,0.06,3.07
Sloatsburg,-0.418,0.847,"(-2.077, 1.242)",-0.49,0.622,2.02
Smith River,-0.264,0.846,"(-1.921, 1.394)",-0.31,0.755,2.01
Smithfield,0.196,0.67,"(-1.118, 1.509)",0.29,0.77,5.06
Smyrna,0.112,0.734,"(-1.327, 1.550)",0.15,0.879,3.03
Smyrna Mills,-0.455,0.847,"(-2.116, 1.205)",-0.54,0.591,2.02
Snohomish,0.007,0.692,"(-1.349, 1.363)",0.01,0.992,4.04
Snowville,-0.566,0.629,"(-1.800, 0.668)",-0.9,0.368,26.69
Social Circle,0.973,0.642,"(-0.286, 2.231)",1.52,0.13,8.12
Soda Springs,0.338,0.692,"(-1.018, 1.694)",0.49,0.625,4.04
Sorrento,-0.43,0.734,"(-1.869, 1.009)",-0.59,0.558,3.03
South Amboy,-0.099,0.647,"(-1.367, 1.168)",-0.15,0.878,7.06
South Bend,1.012,0.632,"(-0.227, 2.250)",1.6,0.109,10.11
South Charleston,-0.328,0.846,"(-1.986, 1.331)",-0.39,0.698,2.02
South Lebanon,-0.744,0.848,"(-2.405, 0.918)",-0.88,0.38,2.02
South Lyon,-0.443,0.847,"(-2.103, 1.218)",-0.52,0.601,2.02
South Portland,-0.428,0.692,"(-1.784, 0.929)",-0.62,0.537,4.05
South Royalton,-0.429,0.846,"(-2.088, 1.230)",-0.51,0.613,2.02
South Saint Paul,0.619,0.846,"(-1.040, 2.278)",0.73,0.465,2.02
South Solon,-0.355,0.846,"(-2.013, 1.303)",-0.42,0.675,2.01
South Vienna,-0.313,0.847,"(-1.973, 1.348)",-0.37,0.712,2.02
South Wales,1.378,0.846,"(-0.281, 3.037)",1.63,0.104,2.02
Southington,-0.187,0.692,"(-1.543, 1.170)",-0.27,0.788,4.04
Spangle,-0.396,0.845,"(-2.053, 1.261)",-0.47,0.64,2.01
Spanish Fork,-0.081,0.617,"(-1.291, 1.128)",-0.13,0.895,18.19
Sparks,1.426,0.846,"(-0.232, 3.084)",1.69,0.092,2.01
Sparks Glencoe,1.316,0.846,"(-0.343, 2.975)",1.55,0.12,2.02
Spartanburg,-0.199,0.734,"(-1.637, 1.239)",-0.27,0.786,3.03
Sperry,-0.267,0.846,"(-1.926, 1.393)",-0.31,0.753,2.02
Spokane,-0.046,0.67,"(-1.359, 1.266)",-0.07,0.945,5.05
Spring,0.226,0.692,"(-1.130, 1.583)",0.33,0.744,4.04
Spring Hill,-1.115,0.847,"(-2.775, 0.546)",-1.32,0.188,2.02
Spring Lake,-0.352,0.671,"(-1.666, 0.963)",-0.52,0.6,5.06
Spring Valley,-0.503,0.848,"(-2.165, 1.158)",-0.59,0.553,2.02
Springfield,-0.138,0.626,"(-1.365, 1.089)",-0.22,0.826,12.12
Springville,-0.288,0.622,"(-1.507, 0.931)",-0.46,0.643,14.13
Staley,-0.34,0.849,"(-2.004, 1.324)",-0.4,0.689,2.03
Stamford,0.145,0.692,"(-1.211, 1.501)",0.21,0.834,4.04
Stanfield,-0.144,0.847,"(-1.804, 1.516)",-0.17,0.865,2.02
Staten Island,0.241,0.691,"(-1.114, 1.596)",0.35,0.728,4.04
Statesville,-0.524,0.734,"(-1.962, 0.914)",-0.71,0.475,3.03
Staunton,0.191,0.734,"(-1.247, 1.629)",0.26,0.795,3.03
Stayton,-0.405,0.847,"(-2.066, 1.256)",-0.48,0.633,2.02
Sterling,0.02,0.669,"(-1.292, 1.333)",0.03,0.976,5.04
